_id,Yil,Ilce,Mahalle,Gelen Ariza,Cevaplanan Ariza
266,2022,BEYOĞLU,İSTİKLAL MAH,660,660
267,2022,BEYOĞLU,KADIMEHMET EFENDİ MAH,120,120
268,2022,BEYOĞLU,KALYONCU KULLUĞU MAH,138,138
269,2022,BEYOĞLU,KAMER HATUN MAH,77,77
270,2022,BEYOĞLU,KAPTANPAŞA MAH,387,387
271,2022,BEYOĞLU,KATİPMUSTAFA ÇELEBİ MAH,68,68
272,2022,BEYOĞLU,KECECİ PİRİ MAH,269,267
273,2022,BEYOĞLU,KEMANKEŞ KARAMUSTAFAPAŞA MAH,80,80
274,2022,BEYOĞLU,KILIÇALİ PAŞA MAH,46,46
275,2022,BEYOĞLU,KOCATEPE MAH,170,167
276,2022,BEYOĞLU,KULAKSIZ MAH,232,232
277,2022,BEYOĞLU,KULOĞLU MAH,96,96
278,2022,BEYOĞLU,KÜCÜK PİYALE MAH,173,173
279,2022,BEYOĞLU,MÜEYYETZADE MAH,95,95
280,2022,BEYOĞLU,ÖMER AVNİ MAH,160,159
281,2022,BEYOĞLU,ÖRNEKTEPE MAH,584,584
282,2022,BEYOĞLU,PİRİPAŞA MAH,447,447
283,2022,BEYOĞLU,PİYALEPAŞA MAH,474,473
284,2022,BEYOĞLU,PÜRTELAŞ HASAN EFENDİ MAH,50,50
285,2022,BEYOĞLU,SURURİ MEHMET EFENDİ MAH,191,191
286,2022,BEYOĞLU,SÜTLÜCE MAH,372,368
287,2022,BEYOĞLU,ŞAHKULU MAH,110,110
288,2022,BEYOĞLU,ŞEHİT MUHTAR MAH,280,280
289,2022,BEYOĞLU,TOMTOM MAH,135,135
290,2022,BEYOĞLU,YAHYA KAHYA MAH,88,88
291,2022,BEYOĞLU,YENİŞEHİR MAH,236,236
292,2022,ÇATALCA,AKALAN MAH,74,74
293,2022,ÇATALCA,ATATÜRK MAH.,216,216
294,2022,ÇATALCA,AYDINLAR MAH,60,60
295,2022,ÇATALCA,BAHŞAYİŞ MAH.,64,64
296,2022,ÇATALCA,BAŞAK MAH,68,68
297,2022,ÇATALCA,BELGRAT MAH,58,58
298,2022,ÇATALCA,CELEPKÖY MAH,19,19
299,2022,ÇATALCA,ÇAKIL MAH.,182,182
300,2022,ÇATALCA,ÇANAKÇA MAH,197,197
301,2022,ÇATALCA,ÇİFTLİKKÖY MAH,85,85
302,2022,ÇATALCA,DAĞYENİCE MAH,65,65
303,2022,ÇATALCA,ELBASAN MAH,57,57
