ILCE,MAHALLE,NUFUS_2022,NUFUS_2023
KAĞITHANE,EMNİYET EVLERİ,8569,8489
KAĞITHANE,GÜLTEPE,14542,13974
KAĞITHANE,GÜRSEL,28400,27600
KAĞITHANE,HAMİDİYE,4056,40304
KAĞITHANE,HARMANTEPE,22101,21244
KAĞITHANE,HÜRRİYET,20981,20364
KAĞITHANE,MEHMET AKİF ERSOY,12741,12394
KAĞITHANE,MERKEZ,32100,31500
KAĞITHANE,NURTEPE,27121,26556
KAĞITHANE,ORTABAYIR,22715,22039
KAĞITHANE,SEYRANTEPE,23885,23565
KAĞITHANE,SULTAN SELİM,36582,35385
KAĞITHANE,TALATPAŞA,30500,29800
KAĞITHANE,TELSİZLER,11798,11334
KAĞITHANE,YAHYA KEMAL,1604,1668
KAĞITHANE,YEŞİLCE,12252,11937
KAĞITHANE,ÇAĞLAYAN,31895,30794
KAĞITHANE,ÇELİKTEPE,32812,32076
KAĞITHANE,ŞİRİNTEPE,22703,21986
KÜÇÜKÇEKMECE,ATAKENT,105200,104500
KÜÇÜKÇEKMECE,ATATÜRK,43869,42447
KÜÇÜKÇEKMECE,BEŞYOL,3612,3448
KÜÇÜKÇEKMECE,CENNET,30331,29042
KÜÇÜKÇEKMECE,CUMHURİYET,55008,53292
KÜÇÜKÇEKMECE,FATİH,11859,1088
KÜÇÜKÇEKMECE,FEVZİ ÇAKMAK,26954,2655
KÜÇÜKÇEKMECE,GÜLTEPE,30806,29514
KÜÇÜKÇEKMECE,HALKALI MERKEZ,78500,79100
KÜÇÜKÇEKMECE,KANARYA,65400,64200
KÜÇÜKÇEKMECE,KARTALTEPE,14994,15193
KÜÇÜKÇEKMECE,KEMALPAŞA,14951,14519
KÜÇÜKÇEKMECE,MEHMET AKİF,54778,52963
KÜÇÜKÇEKMECE,SULTAN MURAT,15767,15608
KÜÇÜKÇEKMECE,SÖĞÜTLÜ ÇEŞME,34623,33808
KÜÇÜKÇEKMECE,TEVFİKBEY,3658,35463
KÜÇÜKÇEKMECE,YARIMBURGAZ,922,8998
