_id,YIL,ILCE,MAHALLE_ADI,GELEN ARIZA,GIDERILEN ARIZA
161,2023,BAŞAKŞEHİR,ZİYA GÖKALP MAH,663,637
162,2023,BAŞAKŞEHİR,İKİTELLİ OSB,221,221
163,2023,BAŞAKŞEHİR,ŞAHİNTEPE MAH,238,238
164,2023,BAŞAKŞEHİR,ŞAMLAR MAH,28,28
165,2023,BEYKOZ,ACARLAR MAH,9,9
166,2023,BEYKOZ,AKBABA MAH,122,122
167,2023,BEYKOZ,ALİBAHADIR MAH,34,34
168,2023,BEYKOZ,ANADOLU HİSARI MAH,15,15
169,2023,BEYKOZ,ANADOLU KAVAĞI MAH,30,30
170,2023,BEYKOZ,ANADOLUFENERİ MAH,5,5
171,2023,BEYKOZ,BAKLACI MAH.,16,16
172,2023,BEYKOZ,CUMHURİYET MAH,5,5
173,2023,BEYKOZ,DERESEKİ MAH,152,152
174,2023,BEYKOZ,ELMALI MAH,21,21
175,2023,BEYKOZ,FATİH MAH.,17,17
176,2023,BEYKOZ,GÖKSU MAH,24,24
177,2023,BEYKOZ,GÖRELE MAH,16,16
178,2023,BEYKOZ,GÖZTEPE MAH,39,39
179,2023,BEYKOZ,GÜMÜŞSUYU MAH,227,227
180,2023,BEYKOZ,KANLICA MAH,14,14
181,2023,BEYKOZ,KAVACIK MAH,110,110
182,2023,BEYKOZ,KAYNARCA MAH,38,38
183,2023,BEYKOZ,KILIÇLI MAH,9,9
184,2023,BEYKOZ,MAHMUTŞEVKETPAŞA MAH,84,84
185,2023,BEYKOZ,MERKEZ MAH,98,98
186,2023,BEYKOZ,ORTAÇEŞME MAH,54,54
187,2023,BEYKOZ,PAŞABAHÇE MAH,28,28
188,2023,BEYKOZ,PAŞAMANDIRA MAH,34,34
189,2023,BEYKOZ,POLONEZKÖY MAH,15,15
190,2023,BEYKOZ,POYRAZKÖY MAH,3,3
191,2023,BEYKOZ,RÜZGARLIBAHÇE MAH,24,24
192,2023,BEYKOZ,RİVA MAH,550,550
193,2023,BEYKOZ,SOĞUKSU MAH,14,14
194,2023,BEYKOZ,TOKATKÖY MAH,255,243
195,2023,BEYKOZ,YALIKÖY MAH,144,144
196,2023,BEYKOZ,YAVUZ SELİM MAH.,20,20
197,2023,BEYKOZ,YENİ MAHALLE,168,168
198,2023,BEYKOZ,ZERZEVATÇI MAH,11,11
199,2023,BEYKOZ,ÇAMLIBAHÇE MAH,118,116
200,2023,BEYKOZ,ÇENGELDERE MAH.,22,22
201,2023,BEYKOZ,ÇUBUKLU MAH,77,77
202,2023,BEYKOZ,ÇİFTLİK MAH.,22,22
203,2023,BEYKOZ,ÇİĞDEM MAH,39,39
204,2023,BEYKOZ,ÖRNEKKÖY MAH,19,19
205,2023,BEYKOZ,ÖĞÜMCE MAH,2,2
206,2023,BEYKOZ,İNCİRKÖY MAH,66,66
207,2023,BEYKOZ,İSHAKLI MAH,7,7
208,2023,BEYLİKDÜZÜ,ADNAN KAHVECİ MAH.,193,193
