_id,Yil,Ilce,Mahalle,Gelen Cagri Sayisi,Cevaplanan Cagri Sayisi
251,2022,BEYOĞLU,EMEKYEMEZ MAH,14,14
252,2022,BEYOĞLU,EVLİYA ÇELEBİ MAH,6,6
253,2022,BEYOĞLU,FETİHTEPE MAH,47,44
254,2022,BEYOĞLU,FİRUZAĞA MAH,94,80
255,2022,BEYOĞLU,GÜMÜŞSUYU MAH,49,48
256,2022,BEYOĞLU,HACIAHMET MAH,109,107
257,2022,BEYOĞLU,HACIMİMİ MAH,17,17
258,2022,BEYOĞLU,HALICIOĞLU MAH,84,75
259,2022,BEYOĞLU,HÜSEYİNAĞA MAH,22,21
260,2022,BEYOĞLU,İSTİKLAL MAH,54,53
261,2022,BEYOĞLU,KADIMEHMET EFENDİ MAH,36,32
262,2022,BEYOĞLU,KALYONCU KULLUĞU MAH,21,21
263,2022,BEYOĞLU,KAMER HATUN MAH,8,8
264,2022,BEYOĞLU,KAPTANPAŞA MAH,59,58
265,2022,BEYOĞLU,KATİPMUSTAFA ÇELEBİ MAH,23,19
266,2022,BEYOĞLU,KECECİ PİRİ MAH,77,36
267,2022,BEYOĞLU,KEMANKEŞ KARAMUSTAFAPAŞA MAH,33,33
268,2022,BEYOĞLU,KILIÇALİ PAŞA MAH,18,15
269,2022,BEYOĞLU,KOCATEPE MAH,53,52
270,2022,BEYOĞLU,KULAKSIZ MAH,42,41
271,2022,BEYOĞLU,KULOĞLU MAH,43,43
272,2022,BEYOĞLU,KÜCÜK PİYALE MAH,34,33
273,2022,BEYOĞLU,MÜEYYETZADE MAH,14,14
274,2022,BEYOĞLU,ÖMER AVNİ MAH,26,24
275,2022,BEYOĞLU,ÖRNEKTEPE MAH,159,139
276,2022,BEYOĞLU,PİRİPAŞA MAH,65,52
277,2022,BEYOĞLU,PİYALEPAŞA MAH,91,86
278,2022,BEYOĞLU,PÜRTELAŞ HASAN EFENDİ MAH,15,15
279,2022,BEYOĞLU,SURURİ MEHMET EFENDİ MAH,19,19
280,2022,BEYOĞLU,SÜTLÜCE MAH,165,156
281,2022,BEYOĞLU,ŞAHKULU MAH,32,31
282,2022,BEYOĞLU,ŞEHİT MUHTAR MAH,38,35
283,2022,BEYOĞLU,TOMTOM MAH,19,19
