_id,Yil,Ilce,Mahalle,Gelen Ariza,Giderilen Ariza
271,2023,BEŞİKTAŞ,ABBASAĞA MAH,149,149
272,2023,BEŞİKTAŞ,AKAT MAH,477,477
273,2023,BEŞİKTAŞ,ARNAVUTKÖY MAH,177,177
274,2023,BEŞİKTAŞ,BALMUMCU MAH,122,122
275,2023,BEŞİKTAŞ,BEBEK MAH,172,172
276,2023,BEŞİKTAŞ,CİHANNÜMA MAH,199,199
277,2023,BEŞİKTAŞ,DİKİLİTAŞ MAH,287,287
278,2023,BEŞİKTAŞ,ETİLER MAH,195,195
279,2023,BEŞİKTAŞ,GAYRETTEPE MAH,211,211
280,2023,BEŞİKTAŞ,KONAKLAR MAH,127,127
281,2023,BEŞİKTAŞ,KURUÇEŞME MAH,153,153
282,2023,BEŞİKTAŞ,KÜLTÜR MAH,52,52
283,2023,BEŞİKTAŞ,LEVAZIM MAH,48,48
284,2023,BEŞİKTAŞ,LEVENT MAH,192,192
285,2023,BEŞİKTAŞ,MECİDİYE MAH,208,208
286,2023,BEŞİKTAŞ,MURADİYE MAH,109,109
287,2023,BEŞİKTAŞ,NİSBETİYE MAH,174,174
288,2023,BEŞİKTAŞ,ORTAKÖY MAH,237,237
289,2023,BEŞİKTAŞ,SİNANPAŞA MAH,122,122
290,2023,BEŞİKTAŞ,TÜRKALİ MAH,171,171
291,2023,BEŞİKTAŞ,ULUS MAH,110,110
292,2023,BEŞİKTAŞ,VİŞNEZADE MAH,117,117
293,2023,BEŞİKTAŞ,YILDIZ MAH,174,174
294,2023,ESENLER,15 TEMMUZ,97,97
295,2023,ESENLER,BİRLİK MAH,631,631
296,2023,ESENLER,DAVUTPAŞA MAH,193,193
297,2023,ESENLER,FATİH MAH,843,843
298,2023,ESENLER,FEVZİ ÇAKMAK MAH,417,417
299,2023,ESENLER,HAVAALANI MAH,561,561
300,2023,ESENLER,KAZIM KARABEKİR MAH,715,715
301,2023,ESENLER,KEMER MAH,411,411
302,2023,ESENLER,MENDERES MAH,324,324
303,2023,ESENLER,MİMAR SİNAN MAH,97,97
304,2023,ESENLER,NAMIK KEMAL MAH,290,290
305,2023,ESENLER,NİNE HATUN MAH,478,478
306,2023,ESENLER,ORUÇREİS MAH,1278,1278
307,2023,ESENLER,TUNA MAH,712,712
308,2023,ESENLER,TURGUT REİS MAH,1008,1008
309,2023,ESENLER,YAVUZ SELİM MAH,88,88
310,2023,ESENLER,ÇİFTE HAVUZLAR MAH,40,40
311,2023,ESENYURT,AKEVLER MAH,97,97
312,2023,ESENYURT,AKÇABURGAZ MAH.,263,263
313,2023,ESENYURT,AKŞEMSEDDİN MAH,93,93
314,2023,ESENYURT,ARDIÇLI MAH,222,222
315,2023,ESENYURT,ATATÜRK MAH,100,97
316,2023,ESENYURT,AŞIK VEYSEL MAH,69,69
317,2023,ESENYURT,BALIKYOLU MAH,203,202
318,2023,ESENYURT,BARBAROS HAYRETTİN PAŞA MAH,158,158
319,2023,ESENYURT,BATTALGAZİ MAH,100,100
320,2023,ESENYURT,BAĞLARÇEŞME MAH,242,242
321,2023,ESENYURT,CUMHURİYET MAH,42,42
322,2023,ESENYURT,ESENKENT MAH,124,124
323,2023,ESENYURT,FATİH MAH,210,210
324,2023,ESENYURT,GÖKEVLER MAH,51,51
325,2023,ESENYURT,GÜZELYURT MAH.,199,198
326,2023,ESENYURT,HÜRRİYET MAH,158,156
327,2023,ESENYURT,KIRAÇ-STANDARTDIŞI ADRES,2,2
328,2023,ESENYURT,KOZA MAH,34,34
329,2023,ESENYURT,MEHMET AKİF ERSOY MAH,148,148
330,2023,ESENYURT,MEHTERÇEŞME MAH,304,304
331,2023,ESENYURT,MEVLANA MAH,99,99
332,2023,ESENYURT,NAMIK KEMAL MAH,167,167
333,2023,ESENYURT,NECİP FAZIL KISAKÜREK MAH,100,100
334,2023,ESENYURT,ORHAN GAZİ MAH,320,320
335,2023,ESENYURT,OSMANGAZİ MAH,342,340
336,2023,ESENYURT,PINAR MAH,438,438
337,2023,ESENYURT,PİRİ REİS MAH,87,87
338,2023,ESENYURT,SAADETDERE MAH,169,167
339,2023,ESENYURT,SELAHADDİN EYYUBİ MAH,317,317
340,2023,ESENYURT,SULTANİYE MAH,158,158
341,2023,ESENYURT,SÜLEYMANİYE MAH,176,176
342,2023,ESENYURT,TALATPAŞA MAH,342,341
343,2023,ESENYURT,TURGUT ÖZAL MAH,183,179
344,2023,ESENYURT,YENİKENT MAH,177,177
345,2023,ESENYURT,YEŞİLKENT MAH,328,328
346,2023,ESENYURT,YUNUS EMRE MAH,265,265
347,2023,ESENYURT,ZAFER MAH,143,143
348,2023,ESENYURT,ÇINAR MAH,200,200
349,2023,ESENYURT,ÖRNEK MAH,78,78
350,2023,ESENYURT,ÜÇEVLER MAH,244,244
351,2023,ESENYURT,İNCİRTEPE MAH,217,217
352,2023,ESENYURT,İNÖNÜ MAH,204,204
353,2023,ESENYURT,İSTİKLAL MAH,168,168
354,2023,ESENYURT,ŞEHİTLER MAH,116,116
355,2023,EYÜPSULTAN,5.LEVENT MAH,111,111
356,2023,EYÜPSULTAN,AKPINAR MAH,244,244
357,2023,EYÜPSULTAN,AKŞEMSETTİN MAH,922,922
358,2023,EYÜPSULTAN,ALİBEYKÖY MAH,777,777
359,2023,EYÜPSULTAN,AĞAÇLI MAH,155,155
360,2023,EYÜPSULTAN,DEFTERDAR MAH,178,178
361,2023,EYÜPSULTAN,DÜĞMECİLER MAH,334,334
362,2023,EYÜPSULTAN,EMNİYETTEPE MAH,484,484
363,2023,EYÜPSULTAN,ESENTEPE MAH,525,525
364,2023,EYÜPSULTAN,GÖKTÜRK MERKEZ MAH,411,411
365,2023,EYÜPSULTAN,GÜZELTEPE MAH,931,931
366,2023,EYÜPSULTAN,IŞIKLAR MAH,65,65
367,2023,EYÜPSULTAN,KARADOLAP MAH,1158,1158
368,2023,EYÜPSULTAN,MERKEZ MAH,309,309
369,2023,EYÜPSULTAN,MİMAR SİNAN MAH,176,176
370,2023,EYÜPSULTAN,MİTHATPAŞA MAH,388,388
371,2023,EYÜPSULTAN,NİŞANCI MAH,569,569
372,2023,EYÜPSULTAN,ODAYERİ MAH,36,36
373,2023,EYÜPSULTAN,PİRİNÇÇİ MAH,171,171
374,2023,EYÜPSULTAN,RAMİ CUMA MAH,247,247
375,2023,EYÜPSULTAN,RAMİ YENİ MAH,224,224
376,2023,EYÜPSULTAN,SAKARYA MAH,308,308
377,2023,EYÜPSULTAN,SİLAHTARAĞA MAH,271,271
378,2023,EYÜPSULTAN,TOPÇULAR MAH,261,261
379,2023,EYÜPSULTAN,YEŞİLPINAR MAH,885,885
380,2023,EYÜPSULTAN,ÇIRÇIR MAH,1139,1139
381,2023,EYÜPSULTAN,ÇİFTALAN MAH,29,29
382,2023,EYÜPSULTAN,İHSANİYE MAH,38,38
383,2023,EYÜPSULTAN,İSLAMBEY MAH,429,429
384,2023,FATİH,AKSARAY MAH,437,437
385,2023,FATİH,AKŞEMSETTİN MAH,412,412
386,2023,FATİH,ALEMDAR MAH,235,229
387,2023,FATİH,ALİ KUŞÇU MAH,242,242
388,2023,FATİH,ATİKALİ MAH,186,186
389,2023,FATİH,AYVANSARAY MAH,602,602
390,2023,FATİH,BALABANAĞA MAH,67,67
391,2023,FATİH,BALAT MAH,357,356
392,2023,FATİH,BEYAZIT MAH,209,209
393,2023,FATİH,BİNBİRDİREK MAH,113,113
394,2023,FATİH,CANKURTARAN MAH,198,198
395,2023,FATİH,CERRAHPAŞA MAH,149,149
396,2023,FATİH,CİBALİ MAH,234,234
397,2023,FATİH,DEMİRTAŞ MAH,62,62
398,2023,FATİH,DERVİŞ ALİ MAH,349,349
399,2023,FATİH,EMİN SİNAN MAH,84,84
400,2023,FATİH,HACI KADIN MAH,70,70
401,2023,FATİH,HASEKİ SULTAN MAH,230,230
